REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,HYD1,2014,0.0
SIMPLICITY,HYD1,2015,0.0
SIMPLICITY,HYD1,2016,0.0
SIMPLICITY,HYD1,2017,0.0
SIMPLICITY,HYD1,2018,0.0
SIMPLICITY,HYD1,2019,0.0
SIMPLICITY,HYD1,2020,0.02
SIMPLICITY,HYD1,2021,0.0
SIMPLICITY,HYD1,2022,0.0
SIMPLICITY,HYD1,2023,0.0
SIMPLICITY,HYD1,2024,0.0
SIMPLICITY,HYD1,2025,0.0
SIMPLICITY,HYD1,2026,0.0
SIMPLICITY,HYD1,2027,0.0
SIMPLICITY,HYD1,2028,0.0
SIMPLICITY,HYD1,2029,0.0
SIMPLICITY,HYD1,2030,0.0
SIMPLICITY,HYD1,2031,0.0
SIMPLICITY,HYD1,2032,0.0
SIMPLICITY,HYD1,2033,0.0
SIMPLICITY,HYD1,2034,0.0
SIMPLICITY,HYD1,2035,0.0
SIMPLICITY,HYD1,2036,0.0
SIMPLICITY,HYD1,2037,0.0
SIMPLICITY,HYD1,2038,0.0
SIMPLICITY,HYD1,2039,0.0
SIMPLICITY,HYD1,2040,0.0
